Date,TimeStep,SPEI_Akron,SPEI_Ftc,SPEI_Greeley,SPEI_Leroy,SPEI_avg,SPEI_min,SPEI_max,location,year,month,SPEI_Hayden,SPEI_Montrose2,SPEI_Rangely,SPEI_Walden,SPEI_CheyenneWells,SPEI_Flagler,SPEI_Lamar,SPEI_RockyFord2,SPEI_Trinidad,SPEI_Walsh,SPEI_FtLewis,SPEI_MesaVerde,SPEI_Vallecito,SPEI_AlamosaSLV,SPEI_SandDunes,SPEI_LakeGeorge
2020-06-01,1,NA,NA,NA,NA,0.4283475,-0.049902,0.906597,EC,2020,6,NA,NA,NA,NA,-0.049902,0.906597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,0.0438235,-0.148137,0.235784,EC,2020,6,NA,NA,NA,NA,-0.148137,0.235784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.8345549999999999,-1.239121,-0.429989,EC,2020,6,NA,NA,NA,NA,-1.239121,-0.429989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,1,NA,NA,NA,NA,-0.836568,-1.191599,-0.481537,EC,2020,6,NA,NA,NA,NA,-0.481537,-1.191599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,-0.159573,-0.307066,-0.01208,EC,2020,7,NA,NA,NA,NA,-0.307066,-0.01208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,0.801473,0.614928,0.988018,EC,2020,7,NA,NA,NA,NA,0.614928,0.988018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,-1.3133195,-1.449696,-1.176943,EC,2020,7,NA,NA,NA,NA,-1.449696,-1.176943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,-2.0724400000000003,-2.13625,-2.00863,EC,2020,7,NA,NA,NA,NA,-2.00863,-2.13625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,1.208332,0.871617,1.545047,EC,2020,7,NA,NA,NA,NA,1.545047,0.871617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,-0.76901,-1.52132,-0.0167,EC,2020,7,NA,NA,NA,NA,-0.0167,-1.52132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,0.489289,-0.708453,1.687031,EC,2020,7,NA,NA,NA,NA,1.687031,-0.708453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,0.3774825,-0.108488,0.863453,EC,2020,7,NA,NA,NA,NA,-0.108488,0.863453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,1,NA,NA,NA,NA,0.3527965,-0.277837,0.98343,EC,2020,7,NA,NA,NA,NA,0.98343,-0.277837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
